Region,State_UT,Sector,Coal_MW,Lignite_MW,Gas_MW,Diesel_MW,Thermal_Total_MW,Nuclear_MW,Hydro_MW,RES_MNRE_MW,Total_RES_incl_Hydro_MW,Grand_Total_MW,thermal_share_pct,hydro_share_pct,nuclear_share_pct,res_share_pct,coal_share_thermal_pct,lignite_share_thermal_pct,gas_share_thermal_pct,diesel_share_thermal_pct,non_fossil_capacity_mw,non_fossil_share_pct
Southern Region,Southern Region,Private,4573.88,0.0,1065.3,36.8,5675.98,0.0,1680.0,12126.48,13806.48,19482.46,29.133795218878927,8.623141020179178,0.0,62.243063760941894,80.58308873533734,0.0,18.768565075986878,0.6483461886757882,13806.48,70.86620478112107
Southern Region,Southern Region,Central,1546.95,180.23,0.0,0.0,1727.18,127.27,0.0,782.06,782.06,2636.51,65.51008719860725,0.0,4.827214764973392,29.662698036419354,89.56507138804294,10.434928611957062,0.0,0.0,909.3299999999999,34.48991280139275
Southern Region,Southern Region,Sub-Total,12730.83,180.23,1300.7,36.8,14248.56,127.27,3353.6,13385.43,16739.03,31114.86,45.79342474946054,10.778129806786852,0.4090328543981879,43.01941258935441,89.34818676413617,1.264899751273111,9.128641771519368,0.258271713071356,16866.3,54.206575250539444
Southern Region,Southern Region,State,9380.0,0.0,0.0,0.0,9380.0,0.0,2479.93,51.81,2531.74,11911.74,78.74584233705572,20.819208612679592,0.0,0.4349490502646968,100.0,0.0,0.0,0.0,2531.74,21.254157662944287
Southern Region,Southern Region,Private,1389.45,0.0,438.7,0.0,1828.15,0.0,0.0,5463.17,5463.17,7291.32,25.07296346889178,0.0,0.0,74.92703653110823,76.00306320597325,0.0,23.996936794026745,0.0,5463.17,74.92703653110823
Southern Region,Southern Region,Central,3166.85,61.3,0.0,0.0,3228.15,148.73,0.0,110.0,110.0,3486.88,92.57989950901666,0.0,4.265417794704721,3.154682696278621,98.10107956569551,1.8989204343044777,0.0,0.0,258.73,7.4201004909833435
Southern Region,Southern Region,Sub-Total,13936.3,61.3,438.7,0.0,14436.3,148.73,2479.93,5624.98,8104.91,22689.94,63.62423170797279,10.929645472839505,0.6554887320107501,24.79063408717696,96.53650866219184,0.4246240380152809,3.038867299792883,0.0,8253.64,36.37576829202722
Southern Region,Southern Region,State,5020.0,0.0,370.05,0.0,5390.05,0.0,3631.6,436.59,4068.19,9458.24,56.98787512264438,38.39614981222722,0.0,4.615975065128396,93.13457203550986,0.0,6.8654279644901255,0.0,4068.19,43.01212487735562
Southern Region,Southern Region,Private,2050.0,0.0,0.0,25.2,2075.2,0.0,0.0,22675.95,22675.95,24751.15,8.384256893114056,0.0,0.0,91.61574310688594,98.78565921356979,0.0,0.0,1.2143407864302236,22675.95,91.61574310688594
Southern Region,Southern Region,Central,2877.8,471.9,0.0,0.0,3349.7,698.0,0.0,640.0,640.0,4687.7,71.4572178253728,0.0,14.890031358662032,13.652750815965186,85.91217123921547,14.087828760784548,0.0,0.0,1338.0,28.542782174627217
Southern Region,Southern Region,Sub-Total,9947.8,471.9,370.05,25.2,10814.95,698.0,3631.6,23752.54,27384.14,38897.09,27.804007960492676,9.336431080062804,1.7944787129319957,61.06508224651254,91.98193241762559,4.3634043615550695,3.4216524348240163,0.233010785995312,28082.14,72.19599203950733
Southern Region,Southern Region,State,0.0,0.0,0.0,159.96,159.96,0.0,2008.15,216.91,2225.06,2385.02,6.706861996964387,84.19845535886492,0.0,9.094682644170698,0.0,0.0,0.0,100.0,2225.06,93.29313800303561
Southern Region,Southern Region,Private,832.5,0.0,0.0,0.0,832.5,0.0,0.0,2618.33,2618.33,3450.83,24.12463088590281,0.0,0.0,75.8753691140972,100.0,0.0,0.0,0.0,2618.33,75.8753691140972
Southern Region,Southern Region,Central,1403.32,314.2,359.58,0.0,2077.1,362.0,0.0,142.0,142.0,2581.1,80.47344155592576,0.0,14.025028088799349,5.501530355274883,67.56150402002791,15.126859563814934,17.311636416157143,0.0,504.0,19.526558444074233
Southern Region,Southern Region,Sub-Total,2235.82,314.2,359.58,159.96,3069.56,362.0,2008.15,2977.24,4985.39,8416.94,36.46883546752145,23.858433112271204,4.300850427827689,35.37199980040251,72.83845241663302,10.235994735401817,11.71438251736405,5.211170330601129,5347.389999999999,63.53128334050141
