Region,State_UT,Sector,Coal_MW,Lignite_MW,Gas_MW,Diesel_MW,Thermal_Total_MW,Nuclear_MW,Hydro_MW,RES_MNRE_MW,Total_RES_incl_Hydro_MW,Grand_Total_MW
Eastern Region,Eastern Region,Central,2136.47,0.0,0.0,0.0,2136.47,0.0,105.01,10.0,115.01,2251.48
Eastern Region,Eastern Region,Sub-Total,5972.47,0.0,0.0,0.0,5972.47,0.0,2179.23,1337.28,3516.51,9488.98
Eastern Region,Eastern Region,State,0.0,0.0,0.0,0.0,0.0,0.0,360.0,0.0,360.0,360.0
Eastern Region,Eastern Region,Private,0.0,0.0,0.0,0.0,0.0,0.0,209.0,62.67,271.67,271.67
Eastern Region,Eastern Region,Central,119.1,0.0,0.0,0.0,119.1,0.0,74.27,0.0,74.27,193.37
Eastern Region,Eastern Region,Sub-Total,119.1,0.0,0.0,0.0,119.1,0.0,643.27,62.67,705.94,825.04
Eastern Region,Eastern Region,Central,2274.33,0.0,0.0,0.0,2274.33,0.0,85.5,0.0,85.5,2359.83
Eastern Region,Eastern Region,State,7630.0,0.0,0.0,0.0,7630.0,0.0,3550.22,421.22,3971.44,11601.44
Eastern Region,Total (Eastern,Private,5711.0,0.0,0.0,0.0,5711.0,0.0,209.0,2806.1,3015.1,8726.1
Eastern Region,Total (Eastern,Central,19666.68,0.0,0.0,0.0,19666.68,0.0,1103.2,38.1,1141.3,20807.98
Eastern Region,Total (Eastern,Grand Total,33007.68,0.0,0.0,0.0,33007.68,0.0,4862.42,3265.42,8127.84,41135.52
North Eastern Region,North Eastern Region,State,0.0,0.0,306.36,0.0,306.36,0.0,100.0,5.01,105.01,411.37
North Eastern Region,North Eastern Region,Private,0.0,0.0,0.0,0.0,0.0,0.0,0.0,675.66,675.66,675.66
North Eastern Region,North Eastern Region,Central,695.52,0.0,435.56,0.0,1131.08,0.0,534.1,97.75,631.85,1762.92
North Eastern Region,North Eastern Region,Sub-Total,695.52,0.0,741.92,0.0,1437.43,0.0,634.1,778.41,1412.51,2849.94
North Eastern Region,North Eastern Region,State,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143.36,143.36,143.36
North Eastern Region,North Eastern Region,Private,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.97,12.97,12.97
North Eastern Region,North Eastern Region,Central,37.05,0.0,46.82,0.0,83.87,0.0,713.19,0.0,713.19,797.06
North Eastern Region,North Eastern Region,Sub-Total,37.05,0.0,46.82,0.0,83.87,0.0,713.19,156.33,869.52,953.39
North Eastern Region,North Eastern Region,State,0.0,0.0,0.0,0.0,0.0,0.0,322.0,55.03,377.03,377.03
North Eastern Region,North Eastern Region,Private,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.08,18.08,18.08
North Eastern Region,North Eastern Region,Central,51.6,0.0,109.69,0.0,161.29,0.0,119.6,0.0,119.6,280.89
North Eastern Region,North Eastern Region,Sub-Total,51.6,0.0,109.69,0.0,161.29,0.0,441.6,73.11,514.71,676.0
North Eastern Region,North Eastern Region,State,0.0,0.0,105.0,0.0,105.0,0.0,0.0,0.0,0.0,105.0
North Eastern Region,North Eastern Region,Private,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.81,53.81,53.81
North Eastern Region,North Eastern Region,Central,106.0,0.0,381.94,0.0,487.94,0.0,92.57,5.25,97.82,585.76
North Eastern Region,North Eastern Region,Sub-Total,106.0,0.0,486.94,0.0,592.94,0.0,92.57,59.05,151.62,744.56
North Eastern Region,North Eastern Region,State,0.0,0.0,0.0,36.0,36.0,0.0,0.0,0.72,0.72,36.72
North Eastern Region,North Eastern Region,Private,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.3,22.3,22.3
North Eastern Region,North Eastern Region,Central,47.1,0.0,81.58,0.0,128.68,0.0,108.72,0.0,108.72,237.4
North Eastern Region,North Eastern Region,Sub-Total,47.1,0.0,81.58,36.0,164.68,0.0,108.72,23.01,131.73,296.41
North Eastern Region,North Eastern Region,State,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.07,35.07,35.07
North Eastern Region,North Eastern Region,Private,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.68,3.68,3.68
North Eastern Region,North Eastern Region,Central,32.1,0.0,73.93,0.0,106.03,0.0,80.69,0.0,80.69,186.72
North Eastern Region,North Eastern Region,Sub-Total,32.1,0.0,73.93,0.0,106.03,0.0,80.69,38.75,119.44,225.47
North Eastern Region,North Eastern Region,State,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
North Eastern Region,North Eastern Region,Private,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.89,79.89,79.89
North Eastern Region,North Eastern Region,Central,31.05,0.0,60.46,0.0,91.51,0.0,111.74,0.0,111.74,203.25
North Eastern Region,North Eastern Region,Sub-Total,31.05,0.0,60.46,0.0,91.51,0.0,111.74,79.89,191.63,283.14
North Eastern Region,North Eastern Region,Central,112.6,0.0,63.62,0.0,176.22,0.0,289.4,0.0,289.4,465.62
North Eastern Region,North Eastern Region,State,0.0,0.0,411.36,36.0,447.36,0.0,422.0,239.19,661.19,1108.54
North Eastern Region,Total (North-,Private,0.0,0.0,0.0,0.0,0.0,0.0,0.0,866.37,866.37,866.37
North Eastern Region,Eastern Region),Central,1113.02,0.0,1253.6,0.0,2366.62,0.0,2050.01,102.99,2153.0,4519.62
North Eastern Region,Eastern Region),Grand Total,1113.02,0.0,1664.96,36.0,2813.97,0.0,2472.01,1208.55,3680.56,6494.53
Islands,Islands,State,0.0,0.0,0.0,57.52,57.52,0.0,0.0,5.25,5.25,62.77
Islands,Islands,Private,0.0,0.0,0.0,35.19,35.19,0.0,0.0,27.82,27.82,63.01
Islands,Islands,Central,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0
Islands,Islands,Sub-Total,0.0,0.0,0.0,92.71,92.71,0.0,0.0,38.07,38.07,130.78
Islands,Islands,State,0.0,0.0,0.0,26.83,26.83,0.0,0.0,0.0,0.0,26.83
Islands,Islands,Private,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.27,9.27,9.27
Islands,Islands,Central,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Islands,Islands,Sub-Total,0.0,0.0,0.0,26.83,26.83,0.0,0.0,9.27,9.27,36.1
Islands,Islands,State,0.0,0.0,0.0,84.35,84.35,0.0,0.0,5.25,5.25,89.6
Islands,Islands,Private,0.0,0.0,0.0,35.19,35.19,0.0,0.0,37.09,37.09,72.28
Islands,Islands,Central,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0
Islands,Islands,Grand Total,0.0,0.0,0.0,119.54,119.54,0.0,0.0,47.34,47.34,166.88
